ID,age,gender,race/ethnicity,year,city,state,Region,armed,%white,%black,%hispanic,personalmedianincome,HouseholdMedianIncome,countymedianincome,householdincome/countyincome,povertyrate,unemploymentrate,BAorhighereducation
428,-1,Male,-1,2015,Mabank,TX,South,Other,87.2,1.8,10.4,22969,50280,43439,1.157485209,17.9,0.058573298,0.100249066
429,-1,Female,-1,2015,Austin,TX,South,Knife,87.2,1.8,10.4,22969,50280,43439,1.157485209,17.9,0.058573298,0.100249066
430,31,Male,Hispanic/Latino,2015,Houston,TX,South,No,25,31.9,40.1,29695,41265,53137,0.776577526,12.5,0.023561091,0.229678912
431,40,Male,White,2015,Forth Worth,TX,South,-1,89.2,0.9,6,54494,102938,56853,1.810599265,11.2,0.027574564,0.71127026
432,35,Male,Hispanic/Latino,2015,Electra,TX,South,-1,94.8,0,2.5,31761,62817,45086,1.393270638,4,0.034519957,0.169803601
433,24,Male,White,2015,Provo,UT,West,Knife,62.7,0.3,28.3,14816,41866,60196,0.695494717,20.5,0.071107364,0.25940902
434,42,Male,White,2015,Salt Lake City,UT,West,Firearm,87.2,0.1,5,30391,44638,60555,0.737148047,18.3,0.03653323,0.638549618
435,34,Male,White,2015,Draper,UT,West,No,83.3,2.2,8.7,30625,68125,60555,1.125010321,7.7,0.018841912,0.328571429
436,36,Male,White,2015,Roosevelt,UT,West,No,79.9,0,10.8,31491,60957,57683,1.05675849,12.4,0.03559965,0.199397288
437,49,Male,White,2015,Syracuse,UT,West,Firearm,89.4,2.2,7.5,36216,81064,69707,1.162924814,4.4,0.046353872,0.341968068
438,54,Male,Hispanic/Latino,2015,Arlington,VA,South,Firearm,52.2,16.2,15.7,29881,38125,103208,0.369399659,20.5,0.011916111,0.424964937
439,38,Male,White,2015,Winchester,VA,South,Firearm,78.2,5.4,14.2,21845,47714,68424,0.697328423,11.6,0.103721571,0.195180723
440,30,Male,Black,2015,Culpeper,VA,South,Firearm,55,22.1,14.9,28490,46382,64423,0.719960263,14.8,0.0509487,0.176186645
441,53,Male,Black,2015,Emporia,VA,South,Other,39.3,59.4,0,19423,40214,39697,1.013023654,25.7,0.105973025,0.061827957
442,34,Male,Black,2015,Chesapeake,VA,South,Firearm,19.2,75.3,4.8,26119,50664,69743,0.726438496,10.8,0.09905795,0.188659579
443,37,Female,Black,2015,Fairfax,VA,South,No,58.6,17.8,7.9,5688,138750,110292,1.258024154,5.6,0.016203704,0.716906946
444,46,Male,White,2015,Pulaski,VA,South,No,82.5,10.5,0.4,20153,31898,44312,0.719850153,21.8,0.083866837,0.118260244
445,29,Male,Black,2015,Portsmouth,VA,South,Other,87.4,10,0,27535,51480,46166,1.115106355,6.6,0.028934368,0.225789048
446,18,Male,Black,2015,Portsmouth,VA,South,No,40.9,53.8,0,25262,27418,46166,0.593900273,35.2,0.152046784,0.12055336
447,35,Male,Hispanic/Latino,2015,Pasco,WA,West,Firearm,16.5,0.9,78.7,16558,28537,55177,0.517190134,35.9,0.131743119,0.057256583
448,37,Male,Hispanic/Latino,2015,Lakewood,WA,West,Firearm,51.6,11,18.4,21626,38688,59204,0.65346936,18,0.131736527,0.142030276
449,20,Male,White,2015,Sumas,WA,West,Firearm,79.4,0.3,17.1,22021,55432,51939,1.067251969,17.4,0.12704918,0.15408805
450,37,Male,Black,2015,Spokane,WA,West,No,75.4,8.6,4.9,17901,32143,49233,0.652875104,24.4,0.099949006,0.110704111
451,62,Male,White,2015,Snohomish,WA,West,Knife,58.2,9.8,24.8,11405,41000,68381,0.599581755,19.1,0.11381323,0.143147897
452,32,Male,White,2015,Vancouver,WA,West,Knife,79,4.1,9.4,15892,28281,58225,0.485719193,27.4,0.133171913,0.294513956
453,36,Male,White,2015,Kennewick,WA,West,Firearm,73.6,0,24.2,22348,42759,60485,0.706935604,20.5,0.0830373,0.128080808
454,54,Male,White,2015,Pasco,WA,West,Firearm,16.5,0.9,78.7,16558,28537,55177,0.517190134,35.9,0.131743119,0.057256583
455,47,Male,White,2015,Tacoma,WA,West,Knife,58,11.3,15.6,21658,36642,59204,0.618910884,24.5,0.12909699,0.131484335
456,53,Male,-1,2015,Shelton,WA,West,Non-lethal firearm,68.7,5.3,18.1,18999,39495,48755,0.810070762,18.4,0.064193168,0.091157703
457,28,Male,Native American,2015,Tonasket,WA,West,Firearm,74.5,0.4,20.2,18470,35608,40368,0.88208482,27.3,0.133650291,0.174524982
458,26,Male,White,2015,Kenosha,WI,Mid-west,No,73.8,7.7,16.8,25286,45365,54930,0.825869288,14.6,0.166293142,0.147312269
459,30,Male,White,2015,Green Bay,WI,Mid-west,Firearm,76.9,8.5,4,23633,33835,53119,0.636966057,13.6,0.08816521,0.213095586
460,37,Male,White,2015,Fond du Lac,WI,Mid-west,Firearm,71.5,2.6,18.7,20423,34339,53820,0.638034188,26.6,0.109457093,0.142972319
461,19,Male,Black,2015,Madison,WI,Mid-west,Firearm,90.7,1.3,5.5,35028,53089,61721,0.860144845,13.3,0.055254849,0.744900197
462,45,Male,Black,2015,Milwaukee,WI,Mid-west,Non-lethal firearm,77.5,3.1,15,35316,63444,43193,1.468849119,11,0.065342729,0.296017223
463,53,Male,White,2015,Follansbee,WV,South,No,94.9,3.7,0.3,23583,37026,42493,0.871343515,14.4,0.13483871,0.167398946
464,42,Male,White,2015,Fort Ashby,WV,South,Firearm,99.6,0.2,0,26643,40541,31163,1.3009338,13.3,0.093187661,0.160032167
465,39,Female,White,2015,Gillette,WY,South,Firearm,94.4,0.9,3.1,42519,76732,79488,0.9653281,8.7,0.04654387,0.212288574
